,ids,team
0,Scotland1872-11-30England,Scotland
1,Scotland1872-11-30England,England
2,England1873-03-08Scotland,England
3,England1873-03-08Scotland,Scotland
4,Scotland1874-03-07England,Scotland
5,Scotland1874-03-07England,England
6,England1875-03-06Scotland,England
7,England1875-03-06Scotland,Scotland
8,Scotland1876-03-04England,Scotland
9,Scotland1876-03-04England,England
10,Scotland1876-03-25Wales,Scotland
11,Scotland1876-03-25Wales,Wales
12,England1877-03-03Scotland,England
13,England1877-03-03Scotland,Scotland
14,Wales1877-03-05Scotland,Wales
15,Wales1877-03-05Scotland,Scotland
16,Scotland1878-03-02England,Scotland
17,Scotland1878-03-02England,England
18,Scotland1878-03-23Wales,Scotland
19,Scotland1878-03-23Wales,Wales
20,England1879-01-18Wales,England
21,England1879-01-18Wales,Wales
22,England1879-04-05Scotland,England
23,England1879-04-05Scotland,Scotland
24,Wales1879-04-07Scotland,Wales
25,Wales1879-04-07Scotland,Scotland
26,Scotland1880-03-13England,Scotland
27,Scotland1880-03-13England,England
28,Wales1880-03-15England,Wales
29,Wales1880-03-15England,England
30,Scotland1880-03-27Wales,Scotland
31,Scotland1880-03-27Wales,Wales
32,England1881-02-26Wales,England
33,England1881-02-26Wales,Wales
34,England1881-03-12Scotland,England
35,England1881-03-12Scotland,Scotland
36,Wales1881-03-14Scotland,Wales
37,Wales1881-03-14Scotland,Scotland
38,Northern Ireland1882-02-18England,Northern Ireland
39,Northern Ireland1882-02-18England,England
40,Wales1882-02-25Northern Ireland,Wales
41,Wales1882-02-25Northern Ireland,Northern Ireland
42,Scotland1882-03-11England,Scotland
43,Scotland1882-03-11England,England
44,Wales1882-03-13England,Wales
45,Wales1882-03-13England,England
46,Scotland1882-03-25Wales,Scotland
47,Scotland1882-03-25Wales,Wales
48,England1883-02-03Wales,England
49,England1883-02-03Wales,Wales
50,England1883-02-24Northern Ireland,England
51,England1883-02-24Northern Ireland,Northern Ireland
52,England1883-03-10Scotland,England
53,England1883-03-10Scotland,Scotland
54,Wales1883-03-12Scotland,Wales
55,Wales1883-03-12Scotland,Scotland
56,Northern Ireland1883-03-17Wales,Northern Ireland
57,Northern Ireland1883-03-17Wales,Wales
58,Northern Ireland1884-01-26Scotland,Northern Ireland
59,Northern Ireland1884-01-26Scotland,Scotland
60,Wales1884-02-09Northern Ireland,Wales
61,Wales1884-02-09Northern Ireland,Northern Ireland
