,neutral,year,winner,score_diff,isFriendly,home_team,away_team,id
0,False,1872,Tie,0,True,Scotland,England,Scotland1872-11-30England
1,False,1873,England,2,True,England,Scotland,England1873-03-08Scotland
2,False,1874,Scotland,1,True,Scotland,England,Scotland1874-03-07England
3,False,1875,Tie,0,True,England,Scotland,England1875-03-06Scotland
4,False,1876,Scotland,3,True,Scotland,England,Scotland1876-03-04England
5,False,1876,Scotland,4,True,Scotland,Wales,Scotland1876-03-25Wales
6,False,1877,Scotland,2,True,England,Scotland,England1877-03-03Scotland
7,False,1877,Scotland,2,True,Wales,Scotland,Wales1877-03-05Scotland
8,False,1878,Scotland,5,True,Scotland,England,Scotland1878-03-02England
9,False,1878,Scotland,9,True,Scotland,Wales,Scotland1878-03-23Wales
10,False,1879,England,1,True,England,Wales,England1879-01-18Wales
11,False,1879,England,1,True,England,Scotland,England1879-04-05Scotland
12,False,1879,Scotland,3,True,Wales,Scotland,Wales1879-04-07Scotland
13,False,1880,Scotland,1,True,Scotland,England,Scotland1880-03-13England
14,False,1880,England,1,True,Wales,England,Wales1880-03-15England
15,False,1880,Scotland,4,True,Scotland,Wales,Scotland1880-03-27Wales
16,False,1881,Wales,1,True,England,Wales,England1881-02-26Wales
17,False,1881,Scotland,5,True,England,Scotland,England1881-03-12Scotland
18,False,1881,Scotland,4,True,Wales,Scotland,Wales1881-03-14Scotland
19,False,1882,England,13,True,Northern Ireland,England,Northern Ireland1882-02-18England
20,False,1882,Wales,6,True,Wales,Northern Ireland,Wales1882-02-25Northern Ireland
21,False,1882,Scotland,4,True,Scotland,England,Scotland1882-03-11England
22,False,1882,Wales,2,True,Wales,England,Wales1882-03-13England
23,False,1882,Scotland,5,True,Scotland,Wales,Scotland1882-03-25Wales
24,False,1883,England,5,True,England,Wales,England1883-02-03Wales
25,False,1883,England,7,True,England,Northern Ireland,England1883-02-24Northern Ireland
26,False,1883,Scotland,1,True,England,Scotland,England1883-03-10Scotland
27,False,1883,Scotland,3,True,Wales,Scotland,Wales1883-03-12Scotland
28,False,1883,Tie,0,True,Northern Ireland,Wales,Northern Ireland1883-03-17Wales
29,False,1884,Scotland,5,False,Northern Ireland,Scotland,Northern Ireland1884-01-26Scotland
30,False,1884,Wales,6,False,Wales,Northern Ireland,Wales1884-02-09Northern Ireland
31,False,1884,England,7,False,Northern Ireland,England,Northern Ireland1884-02-23England
32,False,1884,Scotland,1,False,Scotland,England,Scotland1884-03-15England
33,False,1884,England,4,False,Wales,England,Wales1884-03-17England
34,False,1884,Scotland,3,False,Scotland,Wales,Scotland1884-03-29Wales
35,False,1885,England,4,False,England,Northern Ireland,England1885-02-28Northern Ireland
36,False,1885,Tie,0,False,England,Wales,England1885-03-14Wales
37,False,1885,Scotland,6,False,Scotland,Northern Ireland,Scotland1885-03-14Northern Ireland
38,False,1885,Tie,0,False,England,Scotland,England1885-03-21Scotland
39,False,1885,Scotland,7,False,Wales,Scotland,Wales1885-03-23Scotland
40,False,1885,Wales,6,False,Northern Ireland,Wales,Northern Ireland1885-04-11Wales
41,False,1885,Canada,1,True,United States,Canada,United States1885-11-28Canada
42,False,1886,Wales,5,False,Wales,Northern Ireland,Wales1886-02-27Northern Ireland
43,False,1886,England,5,False,Northern Ireland,England,Northern Ireland1886-03-13England
44,False,1886,Scotland,5,False,Northern Ireland,Scotland,Northern Ireland1886-03-20Scotland
45,False,1886,Tie,0,False,Scotland,England,Scotland1886-03-27England
46,False,1886,England,2,False,Wales,England,Wales1886-03-29England
47,False,1886,Scotland,3,False,Scotland,Wales,Scotland1886-04-10Wales
48,False,1886,United States,1,True,United States,Canada,United States1886-11-25Canada
49,False,1887,England,7,False,England,Northern Ireland,England1887-02-05Northern Ireland
50,False,1887,Scotland,3,False,Scotland,Northern Ireland,Scotland1887-02-19Northern Ireland
51,False,1887,England,4,False,England,Wales,England1887-02-26Wales
52,False,1887,Northern Ireland,3,False,Northern Ireland,Wales,Northern Ireland1887-03-12Wales
53,False,1887,Scotland,1,False,England,Scotland,England1887-03-19Scotland
54,False,1887,Scotland,2,False,Wales,Scotland,Wales1887-03-21Scotland
55,False,1888,England,4,False,England,Wales,England1888-02-04Wales
56,False,1888,Wales,11,False,Wales,Northern Ireland,Wales1888-03-03Northern Ireland
57,False,1888,Scotland,4,False,Scotland,Wales,Scotland1888-03-10Wales
58,False,1888,England,5,False,Scotland,England,Scotland1888-03-17England
59,False,1888,Scotland,8,False,Northern Ireland,Scotland,Northern Ireland1888-03-24Scotland
60,False,1888,England,4,False,Northern Ireland,England,Northern Ireland1888-04-07England
61,False,1888,Scotland,4,True,Scotland,Canada,Scotland1888-09-19Canada
62,False,1889,England,3,False,England,Wales,England1889-02-23Wales
63,False,1889,England,5,False,England,Northern Ireland,England1889-03-02Northern Ireland
64,False,1889,Scotland,7,False,Scotland,Northern Ireland,Scotland1889-03-09Northern Ireland
65,False,1889,Scotland,1,False,England,Scotland,England1889-04-13Scotland
66,False,1889,Tie,0,False,Wales,Scotland,Wales1889-04-15Scotland
67,False,1889,Wales,2,False,Northern Ireland,Wales,Northern Ireland1889-04-27Wales
68,True,1890,Wales,3,False,Wales,Northern Ireland,Wales1890-02-08Northern Ireland
69,False,1890,England,8,False,Northern Ireland,England,Northern Ireland1890-03-15England
70,False,1890,England,2,False,Wales,England,Wales1890-03-15England
71,False,1890,Scotland,5,False,Scotland,Wales,Scotland1890-03-22Wales
72,False,1890,Scotland,3,False,Northern Ireland,Scotland,Northern Ireland1890-03-29Scotland
73,False,1890,Tie,0,False,Scotland,England,Scotland1890-04-05England
74,False,1891,Northern Ireland,5,False,Northern Ireland,Wales,Northern Ireland1891-02-07Wales
75,False,1891,England,3,False,England,Wales,England1891-03-07Wales
76,False,1891,England,5,False,England,Northern Ireland,England1891-03-07Northern Ireland
77,False,1891,Scotland,1,False,Wales,Scotland,Wales1891-03-21Scotland
78,False,1891,Scotland,1,False,Scotland,Northern Ireland,Scotland1891-03-28Northern Ireland
79,False,1891,England,1,False,England,Scotland,England1891-04-06Scotland
80,False,1892,Tie,0,False,Wales,Northern Ireland,Wales1892-02-27Northern Ireland
81,False,1892,England,2,False,Northern Ireland,England,Northern Ireland1892-03-05England
82,False,1892,England,2,False,Wales,England,Wales1892-03-05England
83,False,1892,Scotland,1,False,Northern Ireland,Scotland,Northern Ireland1892-03-19Scotland
84,False,1892,Scotland,5,False,Scotland,Wales,Scotland1892-03-26Wales
85,False,1892,England,3,False,Scotland,England,Scotland1892-04-02England
86,False,1893,England,5,False,England,Northern Ireland,England1893-02-25Northern Ireland
87,False,1893,England,6,False,England,Wales,England1893-03-13Wales
88,False,1893,Scotland,8,False,Wales,Scotland,Wales1893-03-18Scotland
89,False,1893,Scotland,5,False,Scotland,Northern Ireland,Scotland1893-03-25Northern Ireland
90,False,1893,England,3,False,England,Scotland,England1893-04-01Scotland
91,False,1894,Wales,3,False,Wales,Northern Ireland,Wales1894-02-24Northern Ireland
92,False,1894,Tie,0,False,Northern Ireland,England,Northern Ireland1894-03-03England
93,False,1894,England,4,False,Wales,England,Wales1894-03-12England
94,False,1894,Scotland,3,False,Scotland,Wales,Scotland1894-03-24Wales
95,False,1894,Scotland,1,False,Northern Ireland,Scotland,Northern Ireland1894-03-31Scotland
96,False,1894,Tie,0,False,Scotland,England,Scotland1894-04-07England
97,False,1895,England,9,False,England,Northern Ireland,England1895-03-09Northern Ireland
98,False,1895,Tie,0,False,Northern Ireland,Wales,Northern Ireland1895-03-16Wales
99,False,1895,Tie,0,False,England,Wales,England1895-03-18Wales
100,False,1895,Tie,0,False,Wales,Scotland,Wales1895-03-23Scotland
101,False,1895,Scotland,2,False,Scotland,Northern Ireland,Scotland1895-03-30Northern Ireland
102,False,1895,England,3,False,England,Scotland,England1895-04-06Scotland
103,False,1896,Wales,5,False,Wales,Northern Ireland,Wales1896-02-29Northern Ireland
104,False,1896,England,2,False,Northern Ireland,England,Northern Ireland1896-03-07England
105,False,1896,England,8,False,Wales,England,Wales1896-03-16England
106,False,1896,Scotland,4,False,Scotland,Wales,Scotland1896-03-21Wales
107,False,1896,Tie,0,False,Northern Ireland,Scotland,Northern Ireland1896-03-28Scotland
108,False,1896,Scotland,1,False,Scotland,England,Scotland1896-04-04England
109,False,1897,England,6,False,England,Northern Ireland,England1897-02-20Northern Ireland
110,False,1897,Northern Ireland,1,False,Northern Ireland,Wales,Northern Ireland1897-03-06Wales
111,False,1897,Tie,0,False,Wales,Scotland,Wales1897-03-20Scotland
112,False,1897,Scotland,4,False,Scotland,Northern Ireland,Scotland1897-03-27Northern Ireland
113,False,1897,England,4,False,England,Wales,England1897-03-29Wales
114,False,1897,Scotland,1,False,England,Scotland,England1897-04-03Scotland
115,False,1898,Northern Ireland,1,False,Wales,Northern Ireland,Wales1898-02-19Northern Ireland
116,False,1898,England,1,False,Northern Ireland,England,Northern Ireland1898-03-05England
117,False,1898,Scotland,3,False,Scotland,Wales,Scotland1898-03-19Wales
118,False,1898,Scotland,3,False,Northern Ireland,Scotland,Northern Ireland1898-03-26Scotland
119,False,1898,England,3,False,Wales,England,Wales1898-03-28England
120,False,1898,England,2,False,Scotland,England,Scotland1898-04-02England
121,False,1899,England,11,False,England,Northern Ireland,England1899-02-18Northern Ireland
122,False,1899,Northern Ireland,1,False,Northern Ireland,Wales,Northern Ireland1899-03-04Wales
123,False,1899,Scotland,6,False,Wales,Scotland,Wales1899-03-18Scotland
124,False,1899,England,4,False,England,Wales,England1899-03-20Wales
125,False,1899,Scotland,8,False,Scotland,Northern Ireland,Scotland1899-03-25Northern Ireland
126,False,1899,England,1,False,England,Scotland,England1899-04-08Scotland
127,False,1900,Scotland,3,False,Scotland,Wales,Scotland1900-02-03Wales
128,False,1900,Wales,2,False,Wales,Northern Ireland,Wales1900-02-24Northern Ireland
129,False,1900,Scotland,3,False,Northern Ireland,Scotland,Northern Ireland1900-03-03Scotland
130,False,1900,England,2,False,Northern Ireland,England,Northern Ireland1900-03-17England
131,False,1900,Tie,0,False,Wales,England,Wales1900-03-26England
132,False,1900,Scotland,3,False,Scotland,England,Scotland1900-04-07England
133,False,1901,Scotland,11,False,Scotland,Northern Ireland,Scotland1901-02-23Northern Ireland
134,False,1901,Tie,0,False,Wales,Scotland,Wales1901-03-02Scotland
135,False,1901,England,3,False,England,Northern Ireland,England1901-03-09Northern Ireland
136,False,1901,England,6,False,England,Wales,England1901-03-18Wales
137,False,1901,Wales,1,False,Northern Ireland,Wales,Northern Ireland1901-03-23Wales
138,False,1901,Tie,0,False,England,Scotland,England1901-03-30Scotland
139,False,1902,Northern Ireland,3,False,Wales,Northern Ireland,Wales1902-02-22Northern Ireland
140,False,1902,Scotland,4,False,Northern Ireland,Scotland,Northern Ireland1902-03-01Scotland
141,False,1902,Tie,0,False,Wales,England,Wales1902-03-03England
142,False,1902,Scotland,4,False,Scotland,Wales,Scotland1902-03-15Wales
143,False,1902,England,1,False,Northern Ireland,England,Northern Ireland1902-03-22England
144,False,1902,Tie,0,False,England,Scotland,England1902-05-03Scotland
145,False,1902,Argentina,6,True,Uruguay,Argentina,Uruguay1902-07-20Argentina
146,False,1902,Austria,5,True,Austria,Hungary,Austria1902-10-12Hungary
147,False,1903,England,4,False,England,Northern Ireland,England1903-02-14Northern Ireland
148,False,1903,England,1,False,England,Wales,England1903-03-02Wales
149,False,1903,Scotland,1,False,Wales,Scotland,Wales1903-03-09Scotland
150,False,1903,Northern Ireland,2,False,Scotland,Northern Ireland,Scotland1903-03-21Northern Ireland
151,False,1903,Northern Ireland,2,False,Northern Ireland,Wales,Northern Ireland1903-03-28Wales
152,False,1903,Scotland,1,False,England,Scotland,England1903-04-04Scotland
153,False,1903,Hungary,1,True,Hungary,Czechoslovakia,Hungary1903-04-05Czechoslovakia
154,False,1903,Hungary,1,True,Hungary,Austria,Hungary1903-06-11Austria
155,False,1903,Uruguay,1,True,Argentina,Uruguay,Argentina1903-09-13Uruguay
156,False,1903,Austria,2,True,Austria,Hungary,Austria1903-10-11Hungary
157,False,1904,Tie,0,False,Wales,England,Wales1904-02-29England
158,False,1904,England,2,False,Northern Ireland,England,Northern Ireland1904-03-12England
159,False,1904,Tie,0,False,Scotland,Wales,Scotland1904-03-12Wales
160,False,1904,Northern Ireland,1,False,Wales,Northern Ireland,Wales1904-03-21Northern Ireland
161,False,1904,Tie,0,False,Northern Ireland,Scotland,Northern Ireland1904-03-26Scotland
162,False,1904,England,1,False,Scotland,England,Scotland1904-04-09England
163,False,1904,Tie,0,True,Belgium,France,Belgium1904-05-01France
164,False,1904,Hungary,3,True,Hungary,Austria,Hungary1904-06-02Austria
165,False,1904,Austria,1,True,Austria,Hungary,Austria1904-10-09Hungary
166,False,1905,France,1,True,France,Switzerland,France1905-02-12Switzerland
167,False,1905,Tie,0,False,England,Northern Ireland,England1905-02-25Northern Ireland
168,False,1905,Wales,2,False,Wales,Scotland,Wales1905-03-06Scotland
169,False,1905,Scotland,4,False,Scotland,Northern Ireland,Scotland1905-03-18Northern Ireland
170,False,1905,England,2,False,England,Wales,England1905-03-27Wales
171,False,1905,England,1,False,England,Scotland,England1905-04-01Scotland
172,False,1905,Tie,0,False,Northern Ireland,Wales,Northern Ireland1905-04-08Wales
173,False,1905,Tie,0,True,Hungary,Austria,Hungary1905-04-09Austria
174,False,1905,Netherlands,3,True,Belgium,Netherlands,Belgium1905-04-30Netherlands
175,False,1905,Belgium,7,True,Belgium,France,Belgium1905-05-07France
176,False,1905,Netherlands,4,True,Netherlands,Belgium,Netherlands1905-05-14Belgium
177,False,1905,Tie,0,False,Argentina,Uruguay,Argentina1905-08-15Uruguay
178,False,1906,England,5,False,Northern Ireland,England,Northern Ireland1906-02-17England
179,False,1906,Wales,2,False,Scotland,Wales,Scotland1906-03-03Wales
180,False,1906,Scotland,1,False,Northern Ireland,Scotland,Northern Ireland1906-03-17Scotland
181,False,1906,England,1,False,Wales,England,Wales1906-03-19England
182,False,1906,Tie,0,True,Hungary,Czechoslovakia,Hungary1906-04-01Czechoslovakia
183,False,1906,Tie,0,False,Wales,Northern Ireland,Wales1906-04-02Northern Ireland
184,False,1906,Scotland,1,False,Scotland,England,Scotland1906-04-07England
185,False,1906,Belgium,5,True,France,Belgium,France1906-04-22Belgium
186,False,1906,Belgium,5,True,Belgium,Netherlands,Belgium1906-04-29Netherlands
187,False,1906,Belgium,1,True,Netherlands,Belgium,Netherlands1906-05-13Belgium
188,False,1906,Argentina,2,False,Uruguay,Argentina,Uruguay1906-08-15Argentina
189,False,1906,Tie,0,True,Czechoslovakia,Hungary,Czechoslovakia1906-10-07Hungary
190,False,1906,Argentina,1,False,Argentina,Uruguay,Argentina1906-10-21Uruguay
191,False,1906,Hungary,2,True,Hungary,Austria,Hungary1906-11-04Austria
192,False,1907,England,1,False,England,Northern Ireland,England1907-02-16Northern Ireland
193,False,1907,Wales,1,False,Northern Ireland,Wales,Northern Ireland1907-02-23Wales
194,False,1907,Wales,1,False,Wales,Scotland,Wales1907-03-04Scotland
195,False,1907,Scotland,3,False,Scotland,Northern Ireland,Scotland1907-03-16Northern Ireland
196,False,1907,Tie,0,False,England,Wales,England1907-03-18Wales
197,False,1907,Tie,0,False,England,Scotland,England1907-04-06Scotland
198,False,1907,Hungary,3,True,Hungary,Czechoslovakia,Hungary1907-04-07Czechoslovakia
199,False,1907,Netherlands,2,True,Belgium,Netherlands,Belgium1907-04-14Netherlands
200,False,1907,France,1,True,Belgium,France,Belgium1907-04-21France
201,False,1907,Austria,2,True,Austria,Hungary,Austria1907-05-05Hungary
202,False,1907,Belgium,1,True,Netherlands,Belgium,Netherlands1907-05-09Belgium
203,False,1907,Czechoslovakia,2,True,Czechoslovakia,Hungary,Czechoslovakia1907-10-06Hungary
204,False,1907,Hungary,3,True,Hungary,Austria,Hungary1907-11-03Austria
205,False,1908,England,2,False,Northern Ireland,England,Northern Ireland1908-02-15England
206,False,1908,Scotland,1,False,Scotland,Wales,Scotland1908-03-07Wales
207,False,1908,France,1,True,Switzerland,France,Switzerland1908-03-08France
208,False,1908,Scotland,5,False,Northern Ireland,Scotland,Northern Ireland1908-03-14Scotland
209,False,1908,England,6,False,Wales,England,Wales1908-03-16England
210,False,1908,Netherlands,3,True,Belgium,Netherlands,Belgium1908-03-29Netherlands
211,False,1908,Tie,0,False,Scotland,England,Scotland1908-04-04England
212,False,1908,Hungary,3,True,Hungary,Czechoslovakia,Hungary1908-04-05Czechoslovakia
213,False,1908,Switzerland,2,True,Switzerland,Germany,Switzerland1908-04-05Germany
214,False,1908,Northern Ireland,1,False,Wales,Northern Ireland,Wales1908-04-11Northern Ireland
215,False,1908,Belgium,1,True,France,Belgium,France1908-04-12Belgium
216,False,1908,Netherlands,2,True,Netherlands,Belgium,Netherlands1908-04-26Belgium
217,False,1908,Austria,4,True,Austria,Hungary,Austria1908-05-03Hungary
218,False,1908,Netherlands,3,True,Netherlands,France,Netherlands1908-05-10France
219,False,1908,England,5,True,Austria,England,Austria1908-06-06England
220,False,1908,Austria,1,True,Austria,Germany,Austria1908-06-07Germany
221,False,1908,England,10,True,Austria,England,Austria1908-06-08England
222,False,1908,England,7,True,Hungary,England,Hungary1908-06-10England
223,False,1908,England,4,True,Czechoslovakia,England,Czechoslovakia1908-06-13England
224,False,1908,Sweden,8,True,Sweden,Norway,Sweden1908-07-12Norway
225,False,1908,Tie,0,False,Uruguay,Argentina,Uruguay1908-08-15Argentina
226,False,1908,Argentina,1,False,Argentina,Uruguay,Argentina1908-09-13Uruguay
227,False,1908,Uruguay,1,False,Argentina,Uruguay,Argentina1908-10-04Uruguay
228,False,1908,Netherlands,2,True,Netherlands,Sweden,Netherlands1908-10-25Sweden
229,False,1908,Belgium,1,True,Belgium,Sweden,Belgium1908-10-26Sweden
230,False,1908,Hungary,2,True,Hungary,Austria,Hungary1908-11-01Austria
231,False,1909,England,4,False,England,Northern Ireland,England1909-02-13Northern Ireland
232,False,1909,Wales,1,False,Wales,Scotland,Wales1909-03-01Scotland
233,False,1909,England,2,False,England,Wales,England1909-03-15Wales
234,False,1909,Scotland,5,False,Scotland,Northern Ireland,Scotland1909-03-15Northern Ireland
235,False,1909,Wales,1,False,Northern Ireland,Wales,Northern Ireland1909-03-20Wales
236,False,1909,Netherlands,3,True,Belgium,Netherlands,Belgium1909-03-21Netherlands
237,False,1909,England,2,False,England,Scotland,England1909-04-03Scotland
238,False,1909,Germany,1,True,Germany,Switzerland,Germany1909-04-04Switzerland
239,False,1909,Tie,0,True,Hungary,Germany,Hungary1909-04-04Germany
240,False,1909,Netherlands,3,True,Netherlands,Belgium,Netherlands1909-04-25Belgium
241,False,1909,Hungary,1,True,Austria,Hungary,Austria1909-05-02Hungary
242,False,1909,Belgium,3,True,Belgium,France,Belgium1909-05-09France
243,False,1909,England,2,True,Hungary,England,Hungary1909-05-29England
244,False,1909,Tie,0,True,Hungary,Austria,Hungary1909-05-30Austria
245,False,1909,England,6,True,Hungary,England,Hungary1909-05-31England
246,False,1909,England,7,True,Austria,England,Austria1909-06-01England
247,False,1909,Argentina,1,False,Argentina,Uruguay,Argentina1909-08-15Uruguay
